#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
1,USA,"3,45,40,866",21,"6,20,250",1,"2,90,26,688",,"48,93,928","3,891","1,03,747","1,863","50,61,59,128","15,20,297","33,29,34,343"
175,Channel Islands,"4,383",,86,,"3,994",,303,,"24,980",490,"5,63,229","32,10,069","1,75,457"
176,Gibraltar,"4,351",3,94,,"4,229",3,28,,"1,29,183","2,791","2,79,654","83,03,020","33,681"
177,Liberia,"4,093",,128,,"2,346",,"1,619",2,791,25,"1,18,743","22,944","51,75,437"
178,Barbados,"4,081",,47,,"3,999",,35,,"14,184",163,"1,85,776","6,45,670","2,87,726"
179,Comoros,"3,943",7,146,,"3,765",,32,,"4,441",164,,,"8,87,962"
180,Guinea-Bissau,"3,859",,69,,"3,583",,207,4,"1,916",34,"72,908","36,199","20,14,075"
181,Liechtenstein,"3,036",,59,,"2,962",,15,3,"79,400","1,543","49,126","12,84,777","38,237"
182,New Zealand,"2,742",,26,,"2,685",,31,,548,5,"22,88,871","4,57,582","50,02,100"
183,Sint Maarten,"2,618",,33,,"2,547",,38,2,"60,378",761,"28,642","6,60,563","43,360"
184,Monaco,"2,577",,33,,"2,520",,24,1,"65,209",835,"54,960","13,90,723","39,519"
185,Bermuda,"2,514",,33,,"2,466",,15,7,"40,516",532,"3,20,654","51,67,755","62,049"
186,Turks and Caicos,"2,425",,18,,"2,398",,9,2,"61,804",459,"94,789","24,15,807","39,237"
187,Sao Tome and Principe,"2,366",,37,,"2,319",,10,,"10,601",166,"14,270","63,935","2,23,196"
188,Saint Martin,"2,276",,12,,"1,399",,865,7,"57,884",305,"39,038","9,92,828","39,320"
189,St. Vincent Grenadines,"2,227",2,12,,"2,006",4,209,2,"20,011",108,"55,225","4,96,222","1,11,291"
190,Laos,"2,144",23,3,,"1,986",,155,,290,0.4,"2,89,377","39,209","73,80,403"
191,Bhutan,"2,104",4,1,,"1,811",38,292,,"2,697",1,"7,98,573","10,23,742","7,80,053"
192,Mauritius,"1,858",,18,,"1,534",,306,,"1,459",14,"3,58,675","2,81,563","12,73,870"
193,Caribbean Netherlands,"1,649",,17,,"1,613",,19,,"62,309",642,"8,550","3,23,068","26,465"
194,Isle of Man,"1,613",,29,,"1,569",,15,1,"18,870",339,"77,751","9,09,571","85,481"
195,Antigua and Barbuda,"1,263",,42,,"1,221",,0,,"12,792",425,"16,700","1,69,140","98,735"
196,St. Barth,"1,005",,1,,462,,542,,"1,01,443",101,"26,385","26,63,268","9,907"
197,Faeroe Islands,776,,1,,761,,14,,"15,821",20,"3,09,034","63,00,644","49,048"
198,Diamond Princess,712,,13,,699,,0,,,,,,
199,Cayman Islands,614,,2,,595,,17,,"9,235",30,"1,06,425","16,00,641","66,489"
200,Tanzania,509,,21,,183,,305,7,8,0.3,,,"6,14,17,256"
201,Saint Kitts and Nevis,446,,3,,177,,266,1,"8,325",56,"21,310","3,97,775","53,573"
202,Wallis and Futuna,445,,7,,438,,0,,"40,301",634,"20,508","18,57,272","11,042"
203,British Virgin Islands,313,,1,,299,,13,,"10,286",33,"56,092","18,43,252","30,431"
204,Brunei,261,1,3,,248,,10,,591,7,"1,41,157","3,19,617","4,41,644"
205,Dominica,193,,,,191,,2,,"2,674",,"18,689","2,58,980","72,164"
206,Grenada,161,,1,,160,,0,,"1,424",9,"28,684","2,53,746","1,13,042"
207,New Caledonia,129,,,,58,,71,,448,,"34,704","1,20,405","2,88,227"
208,Anguilla,109,,,,109,,0,,"7,201",,"22,201","14,66,768","15,136"
209,Falkland Islands,63,,,,63,,0,,"17,598",,"7,307","20,41,061","3,580"
210,Macao,54,,,,51,,3,,82,,"4,568","6,941","6,58,127"
211,Greenland,50,,,,50,1,0,1,879,,"29,739","5,22,948","56,868"
212,Vatican City,27,,,,27,,0,,"33,624",,,,803
213,Saint Pierre Miquelon,26,,,,26,,0,,"4,509",,"6,128","10,62,782","5,766"
214,Montserrat,20,,1,,19,,0,,"4,004",200,"1,408","2,81,882","4,995"
215,Solomon Islands,20,,,,20,,0,,28,,"4,500","6,396","7,03,565"
216,Western Sahara,10,,1,,8,,1,,16,2,,,"6,11,883"
217,MS Zaandam,9,,2,,7,,0,,,,,,
218,Vanuatu,4,,1,,3,,0,,13,3,"23,000","73,189","3,14,255"
219,Marshall Islands,4,,,,4,,0,,67,,,,"59,587"
220,Samoa,3,,,,3,,0,,15,,,,"1,99,726"
221,Saint Helena,2,,,,2,,0,,328,,,,"6,095"
222,Micronesia,1,,,,1,,0,,9,,,,"1,16,222"
